city,category,hotel_1,value_1,name_1,hotel_2,value_2,name_2,hotel_3,value_3,name_3,hotel_4,value_4,name_4
Chicago,cleanliness,674283,4.9,Trump International Hotel & Tower Chicago,1516481,4.9,Waldorf Astoria Chicago,1566945,4.9,Palomar Chicago - a Kimpton Hotel,2648906,4.9,Ivy Boutique Hotel
Chicago,overall,1516481,4.8,Waldorf Astoria Chicago,674283,4.7,Trump International Hotel & Tower Chicago,1566945,4.7,Palomar Chicago - a Kimpton Hotel,87632,4.7,Park Hyatt Chicago
Chicago,value,676721,5.0,River Park Motel & Suites,1200027,5.0,Steps to Everything - Navy Pier 31,1743591,5.0,Suite Home Chicago - One Superior Place,505788,4.6,Comfort Suites
Chicago,location,1743591,5.0,Suite Home Chicago - One Superior Place,674283,4.9,Trump International Hotel & Tower Chicago,505788,4.9,Comfort Suites,247154,4.9,ACME Hotel Company Chicago
Chicago,sleep_quality,1200027,5.0,Steps to Everything - Navy Pier 31,2648906,4.7,Ivy Boutique Hotel,1566945,4.6,Palomar Chicago - a Kimpton Hotel,2042562,4.6,Radisson Blu Aqua Hotel
Chicago,rooms,1516481,4.9,Waldorf Astoria Chicago,674283,4.8,Trump International Hotel & Tower Chicago,225105,4.8,The Peninsula Chicago,1566945,4.7,Palomar Chicago - a Kimpton Hotel
Philadelphia,service,3186945,4.8,Homewood Suites University City,3226761,4.7,Hotel Monaco Philadelphia,483277,4.6,Homewood Suites Philadelphia - City Ave,1510002,4.6,Hotel Palomar Philadelphia - a Kimpton Hotel
Philadelphia,cleanliness,3186945,5.0,Homewood Suites University City,3226761,4.9,Hotel Monaco Philadelphia,1510002,4.8,Hotel Palomar Philadelphia - a Kimpton Hotel,112124,4.7,Four Seasons Hotel Philadelphia
Philadelphia,overall,3186945,4.7,Homewood Suites University City,3226761,4.7,Hotel Monaco Philadelphia,1510002,4.5,Hotel Palomar Philadelphia - a Kimpton Hotel,226730,4.4,Rittenhouse 1715 - A Boutique Hotel
Philadelphia,value,3186945,4.5,Homewood Suites University City,3226761,4.5,Hotel Monaco Philadelphia,1091941,4.4,The Independent,1510002,4.3,Hotel Palomar Philadelphia - a Kimpton Hotel
