category,hotel,value,name
service,219703,3.5,Sheraton Houston Brookhollow Hotel
service,224224,4.1,The Ritz-Carlton New York - Central Park
service,1465162,4.6,Staybridge Suites Times Square - New York City
service,99054,4.2,Houston Marriott West Loop by the Galleria
service,2643161,4.6,The NoMad Hotel
service,208454,4.4,Sofitel New York
service,217616,3.7,The Muse Hotel New York
service,93589,3.5,The Michelangelo Hotel
service,99352,4.3,Hilton Garden Inn Times Square
service,578305,4.4,Residence Inn by Marriott Times Square New York
service,1646128,4.3,InterContinental New York Times Square
service,75698,3.3,BEST WESTERN PLUS Seaport Inn Downtown
service,1878946,3.1,Aloft Harlem
service,1791248,4.5,Hotel Mulberry
service,1025779,4.0,Candlewood Suites New York City Times Square
service,113309,4.3,Fitzpatrick Manhattan
service,93467,3.9,Affinia Gardens
service,93419,4.0,The Carlyle - A Rosewood Hotel
service,1456411,4.4,Gansevoort Park Avenue NYC
service,93335,3.9,The Kimberly Hotel
service,93543,3.7,Affinia Shelburne
service,1500405,4.2,Hampton Inn Manhattan / Times Square South
service,498869,4.3,Hampton Inn Madison Square Garden
service,641209,4.3,Hilton Garden Inn New York - Chelsea
service,1583937,4.6,Comfort Inn Lower East Side
service,99371,4.0,Courtyard by Marriott New York Manhattan / Midtown East
service,1940859,3.1,Holiday Inn Midtown West 31st Street
service,99288,3.8,On The Ave Hotel
service,99332,0.9,Ameritania Hotel
service,1786395,4.1,Mondrian Soho
service,1963673,4.0,The Gotham Hotel
service,93382,3.4,Washington Square Hotel
service,624442,4.1,Hotel 373
service,93464,3.1,Le Parker Meridien
service,1379306,4.6,Hilton Club New York
service,99382,3.3,The Marcel at Gramercy
service,1383001,4.1,Comfort Inn Manhattan Bridge
service,99321,3.1,The Manhattan Club
service,1027901,4.0,Wyndham Garden Hotel Manhattan - Chelsea West
service,112053,3.9,The Mercer Hotel
service,80107,3.9,Roger Smith Hotel
service,93475,3.5,New York Marriott East Side
service,93390,3.3,Hotel Belleclaire
service,2622936,4.9,Wyndham Garden Chinatown
service,502407,2.8,AKA United Nations
service,1858923,4.0,Doubletree Hotel New York City-Financial District
service,93334,2.7,Excelsior Hotel
service,617306,3.9,Manhattan Centre Hotel
service,121987,3.5,The Milburn Hotel
service,217623,3.6,Club Quarters Wall Street
service,93561,3.3,Soho Grand Hotel
service,1007724,4.1,Hotel East Houston
service,93351,3.5,Cosmopolitan Hotel - Tribeca
service,93565,3.7,Hotel Stanford
service,112066,2.8,W New York
service,1149404,4.1,Doubletree By Hilton - Times Square South
service,217629,4.4,3 West Club
service,93345,3.0,Skyline Hotel
service,93333,2.7,Wolcott Hotel
service,93517,3.0,Paramount Hotel Times Square New York
service,290978,3.3,Hotel St. James
service,247814,3.5,The GEM Hotel-SoHo - an Ascend Collection hotel
service,93364,4.0,Hotel Deauville
service,93401,3.4,Comfort Inn Chelsea
service,93440,3.0,Flatotel
service,246797,3.0,Park 79 Hotel
service,673080,3.8,Holiday Inn NYC - Manhattan 6th Avenue
service,125274,0.8,King & Grove New York
service,93344,3.0,Holiday Inn Midtown / 57th St
service,99766,3.0,The Roosevelt Hotel
service,121981,3.4,Americana Inn
service,234762,3.9,Buckingham Hotel
service,3168954,3.9,Tribeca Blu Hotel
service,99443,3.4,Astor on the Park
service,93526,3.5,the Lexington
service,99357,2.5,Mayfair Hotel
service,235228,3.3,BEST WESTERN Convention Center Hotel
service,219622,2.3,Chelsea Hotel
service,1165409,5.0,Hotel Delmonico
service,1146076,0.0,Oakwood Chelsea
service,234764,4.5,Oakwood Midtown East
service,1872507,5.0,Thompson Hotel
service,121985,3.0,Downtown Athletic Center
service,616887,5.0,New York Escape
service,260396,3.2,The Amsterdam Inn
service,122007,2.0,Manhattan Broadway Hotel
